Fsm,totaltime,theoretical best,number of chunks,chunksize,total difference,differnece per chunk
h323.test,18.014623,12.827392,8,4096,5.187231000000001,0.6484038750000001
h323.test,17.989411,3.7246080000000004,109,256,14.264803,0.13086975229357797
h323.test,17.821652,13.766624000000002,6,6144,4.055027999999998,0.6758379999999997
h323.test,17.875289,14.325856,5,8192,3.5494329999999987,0.7098865999999997
h323.test,33.304104,5.512224,211,128,27.791880000000003,0.1317150710900474
h323.test,16.062066,5.712224,29,1024,10.349842000000002,0.35689110344827596
h323.test,17.453378,13.162784,5,7168,4.2905940000000005,0.8581188000000001
h323.test,16.234435,3.3718399999999993,56,512,12.862595000000002,0.22968919642857147
h323.test,17.18365,13.935552,4,10240,3.2480980000000006,0.8120245000000001
h323.test,17.179948,13.481984,4,9216,3.697963999999999,0.9244909999999997
h323.test,23.279971,16.456064,10,3072,6.823906999999998,0.6823906999999998
h323.test,16.643427,10.121983999999996,15,2048,6.521443000000003,0.43476286666666686
tsp.test,7.564458,1.6347520000000006,43,256,5.9297059999999995,0.1379001395348837
tsp.test,10.843443,2.235072,11,1024,8.608371,0.7825791818181819
tsp.test,6.931484,1.6321599999999998,22,512,5.299324,0.24087836363636364
tsp.test,7.606851,5.192864,3,5120,2.4139869999999997,0.8046623333333333
tsp.test,11.756341,2.033728,84,128,9.722613,0.11574539285714287
tsp.test,9.09636,7.194432,2,8192,1.9019280000000007,0.9509640000000004
tsp.test,11.372003,9.076704000000001,2,7168,2.295298999999998,1.147649499999999
tsp.test,10.860974,8.488736000000001,3,6144,2.3722379999999994,0.7907459999999998
tsp.test,7.344526,5.611808,2,10240,1.7327180000000002,0.8663590000000001
tsp.test,10.432287,6.912895999999999,5,3072,3.5193910000000015,0.7038782000000003
tsp.test,7.284463,3.91872,6,2048,3.3657429999999997,0.5609571666666666
tsp.test,8.594339,6.2472639999999995,2,9216,2.3470750000000002,1.1735375000000001
tsp.test,8.330897,5.884512,4,4096,2.4463850000000003,0.6115962500000001
hotline.test,10.394084,7.576543999999999,5,4096,2.81754,0.563508
hotline.test,10.626935,6.694464000000001,6,3072,3.9324709999999987,0.6554118333333331
hotline.test,10.104102,6.138847999999999,8,2048,3.965254,0.49565675
hotline.test,11.089076,1.7141120000000005,56,256,9.374964,0.16741007142857142
hotline.test,11.03404,8.620064,4,6144,2.413976,0.603494
hotline.test,17.350571,2.6517440000000003,107,128,14.698826999999998,0.137372214953271
hotline.test,12.543943,10.288096000000001,3,9216,2.2558469999999993,0.7519489999999998
hotline.test,10.437245,8.092576,3,8192,2.3446690000000014,0.7815563333333339
hotline.test,11.379826,9.383391999999999,3,10240,1.9964340000000007,0.6654780000000002
hotline.test,10.826681,1.734752,29,512,9.091929,0.31351479310344826
hotline.test,9.956666,7.353888,4,5120,2.602778,0.6506945
hotline.test,11.044308,8.770463999999999,3,7168,2.2738440000000004,0.7579480000000002
hotline.test,9.540761,2.6533439999999997,16,1024,6.887417,0.4304635625
rtp.test,11.465312,8.5808,2,10240,2.884512000000001,1.4422560000000004
rtp.test,11.895186,9.579296,2,9216,2.3158900000000013,1.1579450000000007
rtp.test,13.896632,10.566816000000001,4,5120,3.329815999999999,0.8324539999999998
rtp.test,10.004787,5.903904,8,2048,4.1008830000000005,0.5126103750000001
rtp.test,13.393075,2.8393599999999988,108,128,10.553715,0.09771958333333333
rtp.test,10.030559,7.13184,3,6144,2.898719,0.9662396666666666
rtp.test,12.364311,8.202624,6,3072,4.161687000000001,0.6936145000000001
rtp.test,10.787291,7.4471359999999995,5,4096,3.340155,0.668031
rtp.test,12.174901,5.1372160000000004,15,1024,7.037685,0.46917899999999996
rtp.test,10.820395,8.60688,3,8192,2.2135149999999992,0.737838333333333
rtp.test,10.190705,2.24688,28,512,7.9438249999999995,0.2837080357142857
rtp.test,12.509371,9.723552,3,7168,2.785819,0.9286063333333333
rtp.test,10.381722,2.348992,55,256,8.03273,0.14604963636363638
dns.test,39.371789,26.126144,12,6144,13.245645,1.10380375
dns.test,54.541421,37.147648,14,5120,17.393773000000003,1.2424123571428574
dns.test,64.108442,42.14960000000001,23,3072,21.95884199999999,0.9547322608695648
dns.test,39.154303,26.619328000000003,10,7168,12.534974999999996,1.2534974999999995
dns.test,36.872513,11.122304,130,512,25.750208999999998,0.19807853076923077
dns.test,39.062671,27.687551999999997,8,9216,11.375119000000005,1.4218898750000006
dns.test,39.965022,25.56736,17,4096,14.397661999999997,0.8469212941176468
dns.test,38.739584,27.037632,9,8192,11.701952000000002,1.3002168888888892
dns.test,58.335977,12.938048,257,256,45.397929,0.17664563813229572
dns.test,81.08613,15.477408000000022,509,128,65.60872199999997,0.12889729273084474
dns.test,39.157865,28.092736000000002,7,10240,11.065128999999999,1.5807327142857142
dns.test,38.627978,20.638303999999998,33,2048,17.989674,0.5451416363636364
dns.test,38.519444,12.861152,66,1024,25.658292,0.388762
ssl.test,7.311492,2.637504,19,512,4.6739880000000005,0.24599936842105266
ssl.test,7.9687,6.172511999999999,2,7168,1.7961880000000008,0.8980940000000004
